,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,Age,Gender
0,198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,,124,50,20,Male
1,199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2600, - ,124,50,23,Female
2,200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-03,AD_ASST,4400, - ,101,10,26,Female
3,201,Michael,Hartstein,MHARTSTE,515.123.5555,17-Feb-04,MK_MAN,13000, - ,100,20,19,Female
4,202,Pat,Fay,PFAY,603.123.6666,17-Aug-05,MK_REP,6000, - ,201,20,22,Male
5,203,Susan,Mavris,SMAVRIS,515.123.7777,07-Jun-02,HR_REP,6500, - ,101,40,25,Female
6,204,Hermann,Baer,HBAER,515.123.8888,07-Jun-02,PR_REP,10000, - ,101,70,28,Male
7,205,Shelley,Higgins,SHIGGINS,515.123.8080,07-Jun-02,AC_MGR,12008, - ,101,110,31,Female
8,206,William,Gietz,WGIETZ,515.123.8181,07-Jun-02,AC_ACCOUNT,8300, - ,205,110,34,Male
9,100,Steven,King,SKING,515.123.4567,17-Jun-03,AD_PRES,24000, - , - ,90,37,Male
10,101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-Sep-05,AD_VP,17000, - ,100,90,40,Female
11,102,Lex,De Haan,LDEHAAN,515.123.4569,13-Jan-01,AD_VP,17000, - ,100,90,43,Male
12,103,Alexander,Hunold,AHUNOLD,590.423.4567,03-Jan-06,IT_PROG,9000, - ,102,60,46,Male
13,104,Bruce,Ernst,BERNST,590.423.4568,21-May-07,IT_PROG,6000, - ,103,60,49,Male
14,105,David,Austin,DAUSTIN,590.423.4569,25-Jun-05,IT_PROG,4800, - ,103,60,52,Male
15,106,Valli,Pataballa,VPATABAL,590.423.4560,05-Feb-06,IT_PROG,4800, - ,103,60,55,Female
16,107,Diana,Lorentz,DLORENTZ,590.423.5567,07-Feb-07,IT_PROG,4200, - ,103,60,58,Female
17,108,Nancy,Greenberg,NGREENBE,515.124.4569,17-Aug-02,FI_MGR,12008, - ,101,100,61,Female
18,109,Daniel,Faviet,DFAVIET,515.124.4169,16-Aug-02,FI_ACCOUNT,9000, - ,108,100,64,Male
19,110,John,Chen,JCHEN,515.124.4269,28-Sep-05,FI_ACCOUNT,8200, - ,108,100,67,Male
20,111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-Sep-05,FI_ACCOUNT,7700, - ,108,100,25,Male
21,112,Jose Manuel,Urman,JMURMAN,515.124.4469,07-Mar-06,FI_ACCOUNT,7800, - ,108,100,26,Male
22,113,Luis,Popp,LPOPP,515.124.4567,07-Dec-07,FI_ACCOUNT,6900, - ,108,100,27,Male
23,114,Den,Raphaely,DRAPHEAL,515.127.4561,07-Dec-02,PU_MAN,11000, - ,100,30,28,Male
24,115,Alexander,Khoo,AKHOO,515.127.4562,18-May-03,PU_CLERK,3100, - ,114,30,29,Male
25,116,Shelli,Baida,SBAIDA,515.127.4563,24-Dec-05,PU_CLERK,2900, - ,114,30,30,Female
26,117,Sigal,Tobias,STOBIAS,515.127.4564,24-Jul-05,PU_CLERK,2800, - ,114,30,31,Female
